time,weather_code,temperature_2m_mean,temperature_2m_min,temperature_2m_max,wind_speed_10m_max,wind_gusts_10m_max,rain_sum,snowfall_sum,precipitation_hours,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,shortwave_radiation_sum,et0_fao_evapotranspiration,cloud_cover_mean,relative_humidity_2m_mean,snowfall_water_equivalent_sum,pressure_msl_mean,surface_pressure_mean,soil_temperature_0_to_100cm_mean
1960-06-11,51,17.6,12.9,22.2,14.7,31.3,0.5,0.0,3.0,16.6,19.9,12.8,21.37,4.09,47,68,0.0,1021.4,1000.6,17.4
1960-06-12,2,19.8,12.4,25.6,11.9,28.8,0.0,0.0,0.0,20.1,27.4,11.7,28.13,5.17,5,65,0.0,1017.9,997.2,17.5
1960-06-13,55,20.0,16.1,26.8,14.1,35.3,6.0,0.0,11.0,19.8,25.5,15.0,20.06,4.29,46,68,0.0,1012.4,991.9,17.8
1960-06-14,3,16.9,13.4,21.1,14.8,33.8,0.0,0.0,0.0,15.4,18.9,12.0,24.56,4.52,53,61,0.0,1018.2,997.3,17.5
1960-06-15,3,16.9,10.5,21.9,18.4,41.8,0.0,0.0,0.0,14.7,19.3,8.8,25.0,4.91,55,59,0.0,1023.6,1002.7,17.3
1960-06-16,3,18.7,12.5,24.1,16.7,40.0,0.0,0.0,0.0,16.7,22.7,10.1,29.29,6.02,41,50,0.0,1026.3,1005.4,17.3
1960-06-17,3,20.7,12.4,27.2,15.2,32.0,0.0,0.0,0.0,19.6,27.0,10.9,29.17,6.17,22,53,0.0,1025.3,1004.6,17.6
1960-06-18,2,23.4,14.4,29.8,7.4,20.2,0.0,0.0,0.0,24.4,31.5,14.4,28.59,5.71,12,58,0.0,1022.2,1001.7,18.1
1960-06-19,55,24.7,16.1,31.4,11.4,30.6,3.0,0.0,5.0,26.2,34.1,16.3,25.27,5.45,59,61,0.0,1019.4,999.1,18.7
1960-06-20,1,23.2,19.4,27.6,20.2,43.6,0.0,0.0,0.0,22.5,26.8,17.0,27.96,6.44,16,58,0.0,1019.3,998.9,19.1
1960-06-21,0,22.3,16.7,27.2,22.0,48.2,0.0,0.0,0.0,20.3,25.7,14.1,28.85,6.98,0,47,0.0,1017.3,996.9,19.1
1960-06-22,0,24.1,15.4,31.0,9.2,19.4,0.0,0.0,0.0,24.8,32.4,15.3,28.79,6.01,1,54,0.0,1015.7,995.4,19.4
1960-06-23,63,23.8,19.6,29.8,16.9,37.8,10.7,0.0,6.0,25.3,32.8,20.1,21.96,4.87,58,65,0.0,1015.5,995.1,19.9
1960-06-24,61,18.4,16.8,19.4,9.7,28.1,19.5,0.0,20.0,19.7,21.0,18.2,5.56,1.24,96,88,0.0,1017.0,996.3,19.4
1960-06-25,63,17.8,14.6,20.5,7.8,23.8,11.3,0.0,13.0,18.9,21.3,15.3,14.22,2.6,92,85,0.0,1015.3,994.6,18.8
1960-06-26,55,16.9,12.9,20.2,10.2,24.1,4.5,0.0,11.0,17.4,20.7,13.2,16.51,2.83,96,86,0.0,1015.1,994.3,18.3
1960-06-27,51,19.7,15.0,24.3,18.8,46.1,1.0,0.0,7.0,19.7,23.9,15.3,20.04,3.91,51,78,0.0,1018.6,997.9,18.4
1960-06-28,3,19.9,15.8,24.4,16.2,35.6,0.0,0.0,0.0,19.4,24.3,15.0,22.67,4.53,51,67,0.0,1016.9,996.3,18.5
1960-06-29,1,16.4,13.2,19.9,17.1,39.6,0.0,0.0,0.0,13.9,18.2,10.0,28.9,5.31,15,57,0.0,1015.0,994.2,18.3
1960-06-30,1,14.7,10.2,19.2,16.7,38.9,0.0,0.0,0.0,12.2,17.6,7.4,29.74,5.04,7,55,0.0,1014.6,993.7,17.8
1960-07-01,3,15.6,9.2,21.4,10.8,30.6,0.0,0.0,0.0,13.9,20.8,6.9,27.62,4.91,77,57,0.0,1014.5,993.7,17.5
1960-07-02,3,16.3,10.3,21.6,12.8,25.6,0.0,0.0,0.0,14.4,20.0,8.2,21.9,4.26,63,57,0.0,1012.7,991.9,17.4
1960-07-03,1,17.4,12.3,22.3,21.7,45.4,0.0,0.0,0.0,14.7,20.0,10.0,28.74,5.84,5,53,0.0,1012.8,992.1,17.5
1960-07-04,2,17.6,11.3,22.5,15.1,37.1,0.0,0.0,0.0,16.0,21.1,9.3,27.84,5.18,19,57,0.0,1017.4,996.6,17.5
1960-07-05,3,19.9,12.2,25.9,11.2,23.8,0.0,0.0,0.0,19.7,26.5,11.5,23.17,4.71,28,62,0.0,1014.7,994.1,17.6
1960-07-06,51,21.9,16.0,27.4,16.0,28.8,0.2,0.0,2.0,21.6,26.5,16.0,22.14,5.0,52,59,0.0,1012.3,991.9,18.1
1960-07-07,63,19.4,15.3,23.9,13.6,22.0,17.0,0.0,9.0,19.8,23.0,15.8,13.59,2.91,63,73,0.0,1010.2,989.7,18.2
1960-07-08,63,17.7,13.9,21.4,20.3,42.5,18.6,0.0,13.0,16.7,19.4,13.2,23.43,4.34,57,70,0.0,1008.7,988.1,18.1
1960-07-09,51,16.7,12.8,20.0,12.5,29.5,0.2,0.0,2.0,15.9,18.9,12.1,17.18,3.1,57,71,0.0,1014.9,994.1,17.7
1960-07-10,3,19.9,12.8,26.2,13.4,31.3,0.0,0.0,0.0,19.8,26.3,12.1,17.61,3.7,51,69,0.0,1014.0,993.5,17.7
1960-07-11,63,19.1,15.4,21.4,13.0,29.5,18.8,0.0,20.0,20.0,23.5,15.4,8.05,1.76,79,81,0.0,1015.7,995.0,17.8
1960-07-12,51,17.3,13.3,21.4,13.1,31.7,0.4,0.0,4.0,16.4,19.9,13.0,17.99,3.43,40,69,0.0,1021.2,1000.3,17.6
1960-07-13,2,17.9,11.9,23.1,8.4,20.9,0.0,0.0,0.0,18.0,24.2,11.1,26.32,4.58,22,67,0.0,1020.6,999.7,17.6
1960-07-14,61,19.5,12.9,27.0,15.0,22.0,8.8,0.0,9.0,20.2,28.2,12.5,20.9,4.03,78,74,0.0,1016.3,995.7,17.9
1960-07-15,51,18.0,14.4,21.7,7.2,22.7,0.6,0.0,6.0,18.8,23.2,15.3,19.61,3.49,75,80,0.0,1016.6,995.9,18.0
1960-07-16,3,18.0,13.6,22.2,11.6,27.7,0.0,0.0,0.0,18.1,22.5,13.5,22.41,3.85,53,75,0.0,1017.6,996.8,17.9
1960-07-17,3,21.5,14.7,27.8,14.0,31.0,0.0,0.0,0.0,21.3,27.3,14.5,26.69,5.59,55,58,0.0,1014.8,994.4,18.1
1960-07-18,55,20.0,18.4,21.5,12.1,25.6,5.6,0.0,12.0,21.5,23.3,18.4,6.22,1.58,87,80,0.0,1017.4,996.8,18.3
1960-07-19,63,18.4,14.6,19.8,6.1,22.0,20.4,0.0,15.0,20.2,22.2,15.3,3.89,0.91,91,90,0.0,1019.2,998.5,18.1
1960-07-20,51,17.0,13.0,21.0,11.4,26.3,0.2,0.0,2.0,16.5,20.2,12.1,16.98,3.16,48,74,0.0,1021.7,1000.7,17.7
1960-07-21,3,16.5,10.5,21.0,13.9,32.0,0.0,0.0,0.0,15.5,19.9,9.2,19.1,3.46,30,71,0.0,1022.0,1001.0,17.4
1960-07-22,3,17.4,12.3,21.7,12.0,27.0,0.0,0.0,0.0,16.7,20.8,11.5,19.98,3.72,67,69,0.0,1020.0,999.1,17.4
1960-07-23,51,16.0,13.2,19.5,14.9,32.8,0.5,0.0,5.0,14.4,17.0,11.8,15.62,3.09,77,66,0.0,1019.7,998.7,17.3
1960-07-24,3,17.0,12.8,22.1,16.3,30.2,0.0,0.0,0.0,16.1,21.3,11.9,24.19,4.41,47,66,0.0,1019.2,998.4,17.3
1960-07-25,1,18.5,10.6,24.7,11.2,24.8,0.0,0.0,0.0,18.5,25.2,9.6,26.98,4.85,5,69,0.0,1020.4,999.6,17.4
1960-07-26,3,20.0,14.2,24.8,12.8,29.5,0.0,0.0,0.0,20.5,25.2,14.2,19.41,3.76,65,75,0.0,1018.2,997.6,17.8
1960-07-27,3,19.0,15.0,23.1,14.3,32.4,0.0,0.0,0.0,18.2,21.2,15.0,17.41,3.67,78,66,0.0,1018.2,997.5,17.9
1960-07-28,3,19.0,13.3,23.3,10.4,24.8,0.0,0.0,0.0,18.7,23.5,12.9,19.39,3.73,45,66,0.0,1017.1,996.4,17.9
1960-07-29,3,22.3,14.1,29.3,18.5,36.4,0.0,0.0,0.0,22.3,28.8,14.1,26.97,5.94,21,60,0.0,1013.1,992.8,18.2
1960-07-30,55,22.8,19.3,27.2,21.6,48.6,4.3,0.0,9.0,22.3,27.3,17.9,18.65,4.69,74,62,0.0,1013.6,993.3,18.7
1960-07-31,61,18.5,14.6,23.7,15.9,33.8,8.2,0.0,11.0,19.1,23.5,15.0,12.64,2.49,76,81,0.0,1015.9,995.2,18.5
1960-08-01,53,15.4,13.4,17.4,12.5,26.3,4.8,0.0,12.0,15.3,17.4,14.0,7.29,1.42,70,84,0.0,1019.2,998.2,17.9
1960-08-02,51,16.0,10.6,20.2,9.2,26.3,1.2,0.0,10.0,15.4,19.2,9.7,18.5,3.26,35,73,0.0,1020.1,999.2,17.4
1960-08-03,3,16.8,10.2,21.6,8.2,23.4,0.0,0.0,0.0,16.3,21.3,9.3,25.08,4.28,23,69,0.0,1016.8,996.0,17.4
1960-08-04,63,19.2,11.8,26.4,20.2,32.0,11.5,0.0,8.0,19.5,25.9,11.4,22.91,4.4,51,72,0.0,1012.3,991.7,17.5
1960-08-05,63,19.1,16.7,22.4,16.6,39.2,20.0,0.0,22.0,19.7,23.9,17.0,11.58,2.33,82,83,0.0,1010.4,989.8,17.8
1960-08-06,53,18.9,14.8,22.8,12.3,28.4,2.0,0.0,9.0,19.3,23.6,15.2,20.32,3.66,38,75,0.0,1016.6,996.0,17.9
1960-08-07,55,19.1,13.9,24.5,6.8,16.9,5.5,0.0,7.0,20.2,25.6,14.2,21.73,3.96,63,75,0.0,1014.8,994.2,18.0
1960-08-08,63,17.6,14.3,20.8,10.5,26.6,18.2,0.0,20.0,18.5,21.6,15.3,13.62,2.41,87,86,0.0,1012.6,991.9,18.1
1960-08-09,51,17.8,13.8,21.4,7.9,27.0,1.2,0.0,12.0,18.1,21.7,13.9,15.43,2.8,66,75,0.0,1016.4,995.6,17.8
1960-08-10,3,19.4,13.6,24.2,10.8,19.8,0.0,0.0,0.0,19.2,23.7,13.7,18.18,3.63,70,65,0.0,1015.5,994.9,17.8
1960-08-11,63,21.1,15.7,26.3,29.9,64.1,5.2,0.0,3.0,19.9,24.3,15.0,22.45,5.01,68,68,0.0,1007.9,987.6,18.2
1960-08-12,63,16.7,13.5,20.6,23.5,49.0,15.9,0.0,12.0,15.5,19.5,12.7,16.36,2.85,58,80,0.0,1007.8,987.1,18.2
1960-08-13,3,15.1,10.3,19.5,9.7,24.1,0.0,0.0,0.0,13.9,18.7,9.2,19.09,3.29,63,70,0.0,1012.5,991.6,17.6
1960-08-14,51,17.9,12.3,23.2,22.9,47.5,1.0,0.0,5.0,16.6,21.9,10.7,17.23,3.43,61,70,0.0,1010.5,989.9,17.5
